Sigma Colour,Sigma Space,Average Similarity
0,0.1,-16.364855488549825
0,0.0,-16.364853118014192
0,1.2,-16.36484639267762
0,0.9,-16.36485477421431
0,0.3,-16.364855488549825
0,0.5,-16.364855488549825
0,2.0,-16.364796674925866
0,0.4,-16.364855488549825
0,0.8,-16.364855398596465
0,0.6,-16.364855488549825
0,2.6,-16.36478079022059
0,2.5,-16.36478195432291
0,1.0,-16.364853118014196
0,3.0,-16.36477539831031
0,3.9,-16.364763333977187
0,4.6,-16.364752798851203
0,1.5,-16.364828296177937
0,2.1,-16.364792113761325
0,3.1,-16.36477428712173
0,2.9,-16.36477659416087
0,1.7,-16.364814390446604
0,1.1,-16.36485045116161
0,4.1,-16.364760376099024
0,2.8,-16.364777879964794
0,0.7,-16.36485548854982
0,1.3,-16.364841323541153
0,3.6,-16.36476764115577
0,2.7,-16.364779499125294
0,3.2,-16.364773048940176
0,1.6,-16.364821449139757
0,1.4,-16.364835360162463
0,1.9,-16.364801929260423
0,0.2,-16.364855488549825
0,2.2,-16.364788801361097
0,3.8,-16.3647648473102
0,3.3,-16.364771821341364
0,3.4,-16.36477066782179
0,2.4,-16.364783769264246
0,3.7,-16.364766471762074
0,3.5,-16.36476923915077
0,1.8,-16.36480755399117
10,0.4,-16.36430601638133
0,4.0,-16.364761788895926
0,4.2,-16.36475872519028
10,0.6,-16.296813819147516
0,2.3,-16.364786139799882
0,4.4,-16.36475545512104
10,0.5,-16.33421523079302
10,0.7,-16.261583923967102
10,0.0,-16.170168275858213
0,4.9,-16.36474815831605
0,4.3,-16.364756989619554
10,0.1,-16.364855488549825
10,1.0,-16.170168275858213
0,4.8,-16.364749692814563
10,0.2,-16.364855488549825
0,4.5,-16.364754296310096
10,2.0,-15.962302938113822
10,2.6,-15.884558994440797
10,1.6,-16.031189423025594
10,2.2,-15.933233091424405
10,1.7,-16.01247659995598
0,4.7,-16.36475109502872
10,2.4,-15.907417445144217
10,0.9,-16.198716345431574
10,0.8,-16.228745147862792
10,1.2,-16.117769596466676
10,1.8,-15.99480875978952
10,0.3,-16.364855488549825
10,2.5,-15.895631501802479
10,1.5,-16.051022504087378
10,1.3,-16.094210504325957
10,2.1,-15.947337455652464
10,1.4,-16.072040112172054
10,1.1,-16.143054660784177
10,2.3,-15.919937063972247
10,2.9,-15.855315183242615
10,1.9,-15.978118818484404
10,3.1,-15.838861284848093
10,3.3,-15.82446547173045
10,4.4,-15.772458782629206
10,3.5,-15.811964737816856
10,3.2,-15.831402124626424
10,4.2,-15.779358168376865
10,2.7,-15.874189663084662
10,3.0,-15.846798176787182
10,2.8,-15.864441210991513
10,4.6,-15.766312544624803
10,3.8,-15.796127654909952
10,4.9,-15.75837177410844
10,3.6,-15.80633205942442
10,3.4,-15.817984395568237
10,4.0,-15.787203366092863
10,3.7,-15.801058734126352
10,4.3,-15.775810249078525
20,0.2,-16.364855488549825
20,0.3,-16.364855488549825
20,0.1,-16.364855488549825
10,4.5,-15.76929688495109
10,4.7,-15.763500322117693
20,1.3,-15.19162243289511
10,4.1,-15.783151998998619
10,4.8,-15.76086129157872
10,3.9,-15.791525651544893
20,0.5,-16.13383361582922
20,0.4,-16.30927873574932
20,0.6,-15.96130603792781
20,0.0,-15.452896853803948
20,0.7,-15.80854281672039
20,1.0,-15.452896853803944
20,0.9,-15.558912096432714
20,1.1,-15.3575497675965
20,1.2,-15.270918236077664
20,1.7,-14.933034135755413
20,2.8,-14.519949390757526
20,1.5,-15.051976274282488
20,1.4,-15.118879763808296
20,2.1,-14.74239451740826
20,2.0,-14.784922191189368
20,1.6,-14.990189659994494
20,0.8,-15.676578257117017
20,2.4,-14.632297635733593
20,1.9,-14.830682021514898
20,1.8,-14.879961171261334
20,2.2,-14.702908039768952
20,2.3,-14.666268257939509
20,2.5,-14.600836326028741
20,2.6,-14.571757372884369
20,2.9,-14.496955623742318
20,2.7,-14.544826209683274
20,3.1,-14.456082604996844
20,3.0,-14.475712798898615
20,3.6,-14.377722549588961
20,3.5,-14.391124483895235
20,3.2,-14.437918481555094
20,3.4,-14.405574877537495
20,3.8,-14.353691424540791
20,4.0,-14.332865268956526
20,3.7,-14.365279952003428
20,3.3,-14.421131057263546
20,4.3,-14.306543365160737
20,4.1,-14.32349390664399
20,4.2,-14.314728470171021
20,3.9,-14.342908990311408
20,4.8,-14.272674638947317
20,4.7,-14.278617831050484
20,4.6,-14.284932191886561
20,4.5,-14.29167615939194
20,4.4,-14.298869279902817
20,4.9,-14.267077634999572
30,0.0,-14.51707901075686
30,0.5,-15.832620135465108
30,0.1,-16.364855488549825
30,0.7,-15.176440898334794
30,0.3,-16.36485548854982
30,0.2,-16.364855488549825
30,0.6,-15.476112466972829
30,0.4,-16.189217508623777
30,0.8,-14.924944656459227
30,0.9,-14.707593493396132
30,1.1,-14.348125274595864
30,1.0,-14.51707901075686
30,1.2,-14.196981684818406
30,1.3,-14.061125335383172
30,1.4,-13.938420871076175
30,1.5,-13.827118016439071
30,1.7,-13.633316050647002
30,1.6,-13.725796376153717
30,1.8,-13.548781527753489
30,1.9,-13.471401069738066
30,2.1,-13.33555544062691
30,2.0,-13.400480718169012
30,2.4,-13.172006208221163
30,2.6,-13.085056389962935
30,2.3,-13.221709027715077
30,2.8,-13.012450180124723
30,2.2,-13.276092988366216
30,2.7,-13.047113490832567
30,2.5,-13.126514031475546
30,2.9,-12.980846521871813
30,3.0,-12.951893514015559
30,3.3,-12.87888663603342
30,3.7,-12.806524940595862
30,3.1,-12.925410874146445
40,0.2,-16.36485548854982
30,3.9,-12.778219866798752
30,3.2,-12.90116346417886
30,4.2,-12.74308035358063
30,3.8,-12.791810946566306
30,3.6,-12.822450288915382
30,3.4,-12.85848375863494
30,3.5,-12.839714397232266
30,4.4,-12.723577433101896
30,4.3,-12.732980247342534
30,4.0,-12.765618861344533
30,4.7,-12.698981157543557
40,0.0,-13.515354059815303
40,0.3,-16.364855488549825
30,4.9,-12.685102396344838
30,4.1,-12.753928549008263
30,4.5,-12.714808451408231
30,4.8,-12.69181463147928
40,0.8,-14.097968475304926
30,4.6,-12.706633066652309
40,0.5,-15.4773480398824
40,0.1,-16.364855488549825
40,1.1,-13.279965723959677
40,0.6,-14.9209390174206
40,0.4,-16.05009881535445
40,0.9,-13.78505587775791
40,1.0,-13.515354059815303
40,1.3,-12.890230696717772
40,0.7,-14.468400781210017
40,1.2,-13.0730560401396
40,2.1,-11.978355533399514
40,1.5,-12.582994695968855
40,2.4,-11.792863771285981
40,1.4,-12.727825655189593
40,1.6,-12.453458369140064
40,2.0,-12.05446946396644
40,1.8,-12.23293184185158
40,1.7,-12.33727720616121
40,1.9,-12.138963909991949
40,3.3,-11.487043223711721
40,2.2,-11.909866504767551
40,2.7,-11.657982833766235
40,2.5,-11.743054357059306
40,2.8,-11.62170398186066
40,2.6,-11.698270483660808
40,3.1,-11.53295089503171
40,2.3,-11.848259172819374
40,3.4,-11.46724439900636
40,3.6,-11.432796595385929
40,3.0,-11.559547495226438
40,2.9,-11.589020957355208
40,3.7,-11.417836959893032
40,3.5,-11.449242609632932
40,3.2,-11.508860845240724
40,3.9,-11.391588674986146
40,3.8,-11.404132565347519
40,4.0,-11.38003204392704
50,0.1,-16.364855488549825
40,4.4,-11.34226990342988
50,0.4,-15.899727157698571
50,0.2,-16.364855488549825
40,4.3,-11.350627470198662
40,4.8,-11.31447366933898
40,4.7,-11.320695679821574
40,4.1,-11.369422865162283
40,4.6,-11.327379283330353
40,4.2,-11.359656237198843
40,4.9,-11.308687472307595
50,0.3,-16.36485548854982
50,0.0,-12.533356029095449
50,0.6,-14.34048157240845
40,4.5,-11.334534475271143
50,0.7,-13.741621706918574
50,0.5,-15.097164710276308
50,0.9,-12.867743308919783
50,0.8,-13.26326477659628
50,1.1,-12.247382002673376
50,1.0,-12.533356029095446
50,1.3,-11.787832775051024
50,1.2,-12.001093933405643
50,1.6,-11.297837033337307
50,1.5,-11.440032438451901
50,1.7,-11.172902805118307
50,1.4,-11.602225073637939
50,1.9,-10.965775920971081
50,1.8,-11.06286421322155
50,2.0,-10.880149253156404
50,2.1,-10.804594922448139
50,2.3,-10.679098787331332
50,2.6,-10.541112844988602
50,2.5,-10.581452810699647
50,2.4,-10.627218323961042
50,2.7,-10.505460290713176
50,2.2,-10.73795909179362
50,2.9,-10.446070441397545
50,2.8,-10.473933018737855
50,3.0,-10.421327457198815
50,3.3,-10.362407354916977
50,3.1,-10.399350718756985
50,3.6,-10.32031611367785
50,3.2,-10.379823098143602
50,3.5,-10.332855569867663
50,3.9,-10.289731246025914
50,4.3,-10.260688290100058
50,4.4,-10.254961361750807
50,4.2,-10.266973611874656
50,3.4,-10.34682016244688
50,3.7,-10.309062657193499
50,4.0,-10.28142204770847
50,3.8,-10.298890731133723
50,4.1,-10.273878035010524
50,4.6,-10.24485460954675
60,0.3,-16.364852160275472
60,0.1,-16.364855488549825
50,4.9,-10.232484831852615
50,4.8,-10.236269270285213
50,4.5,-10.249681755591595
60,0.2,-16.36485548854982
60,0.4,-15.74530862003374
60,0.0,-11.63214590557911
